_ID;housing;marital;campaign;education;poutcome;balance;contact;y;duration;default;day;age;loan;previous;job;month;pdays
1;yes;married;1;secondary;failure;4789;cellular;no;220;no;11;33;yes;4;services;may;339
2;yes;single;1;tertiary;failure;1350;cellular;no;185;no;16;35;no;1;management;apr;330
3;yes;married;4;tertiary;unknown;1476;unknown;no;199;no;3;30;yes;0;management;jun;-1
4;yes;married;1;secondary;unknown;0;unknown;no;226;no;5;59;no;0;blue-collar;may;-1
5;no;single;2;tertiary;failure;747;cellular;no;141;no;23;35;no;3;management;feb;176
6;yes;married;1;tertiary;other;307;cellular;no;341;no;14;36;no;2;self-employed;may;330
7;yes;married;2;secondary;unknown;147;cellular;no;151;no;6;39;no;0;technician;may;-1
8;yes;married;2;tertiary;unknown;221;unknown;no;57;no;14;41;no;0;entrepreneur;may;-1
9;yes;married;1;primary;failure;-88;cellular;no;313;no;17;43;yes;2;services;apr;147
10;yes;married;1;secondary;unknown;9374;unknown;no;273;no;20;39;no;0;services;may;-1
11;yes;married;2;secondary;unknown;264;cellular;no;113;no;17;43;no;0;admin.;apr;-1
12;no;married;2;tertiary;unknown;1109;cellular;no;328;no;13;36;no;0;technician;aug;-1
14;yes;married;1;secondary;failure;360;cellular;no;89;no;29;31;yes;1;blue-collar;jan;241
15;no;married;2;tertiary;unknown;194;cellular;no;189;no;29;40;yes;0;management;aug;-1
16;no;married;5;secondary;unknown;4073;cellular;no;239;no;27;56;no;0;technician;aug;-1
17;yes;single;1;tertiary;failure;2317;cellular;no;114;no;20;37;no;2;admin.;apr;152
18;yes;single;1;primary;unknown;-221;unknown;no;250;no;23;25;no;0;blue-collar;may;-1
19;no;married;1;secondary;other;132;cellular;no;148;no;7;31;no;1;services;jul;152
20;yes;divorced;2;unknown;unknown;0;cellular;no;96;no;18;38;no;0;management;nov;-1
21;no;divorced;3;tertiary;unknown;16;cellular;no;140;no;19;42;no;0;management;nov;-1
22;no;single;2;secondary;unknown;106;unknown;no;109;no;12;44;no;0;services;jun;-1
23;no;married;2;secondary;unknown;93;cellular;no;125;no;7;44;no;0;entrepreneur;jul;-1
24;no;married;3;tertiary;unknown;543;cellular;no;169;no;30;26;no;0;housemaid;jan;-1
25;no;married;2;tertiary;unknown;5883;cellular;no;182;no;20;41;no;0;management;nov;-1
26;yes;married;1;primary;unknown;627;unknown;no;247;no;5;55;no;0;blue-collar;may;-1
27;no;married;1;unknown;failure;696;telephone;no;119;no;17;67;no;2;retired;aug;105
28;no;married;2;secondary;unknown;784;cellular;no;149;no;30;56;yes;0;self-employed;jul;-1
29;no;married;2;secondary;unknown;105;cellular;no;74;no;21;53;yes;0;admin.;aug;-1
31;no;married;3;secondary;unknown;171;cellular;no;81;no;27;31;no;0;technician;aug;-1
32;no;married;1;secondary;unknown;42;cellular;no;40;no;21;59;no;0;management;nov;-1
35;yes;divorced;1;secondary;unknown;1811;unknown;no;150;no;14;42;no;0;admin.;may;-1
39;yes;single;18;tertiary;unknown;363;unknown;no;16;no;30;23;no;0;services;may;-1
40;yes;single;2;tertiary;failure;11971;unknown;no;609;no;17;38;no;3;management;nov;101
41;no;single;2;tertiary;unknown;553;cellular;no;106;no;11;36;no;0;management;aug;-1
42;yes;married;1;secondary;unknown;1117;cellular;no;365;no;13;52;no;0;blue-collar;may;-1
43;yes;married;3;tertiary;unknown;396;cellular;no;205;no;13;32;no;0;technician;may;-1
44;yes;single;4;tertiary;unknown;2204;cellular;no;11;no;21;32;no;0;technician;nov;-1
45;yes;single;2;tertiary;unknown;872;unknown;no;105;no;7;34;no;0;management;may;-1
46;no;married;3;primary;other;145;telephone;no;59;no;2;55;no;2;blue-collar;feb;5
47;yes;married;1;primary;unknown;0;unknown;no;425;no;21;26;no;0;blue-collar;may;-1
48;yes;single;1;primary;unknown;-849;cellular;no;204;yes;4;32;yes;0;entrepreneur;feb;-1
51;yes;single;2;secondary;unknown;228;cellular;no;1740;no;20;37;no;0;technician;aug;-1
52;no;single;2;secondary;unknown;50;cellular;no;98;no;29;38;no;0;technician;aug;-1
54;yes;married;3;secondary;unknown;2231;cellular;no;272;no;14;53;no;0;blue-collar;jul;-1
55;yes;married;2;secondary;unknown;3064;telephone;no;159;no;15;48;no;0;admin.;jul;-1
56;no;married;1;secondary;unknown;82;telephone;no;140;no;4;57;yes;0;management;feb;-1
57;no;single;1;tertiary;unknown;2155;cellular;no;295;no;17;33;no;0;self-employed;nov;-1
58;yes;single;1;secondary;unknown;101;unknown;no;314;no;26;36;yes;0;retired;may;-1
59;yes;divorced;1;secondary;unknown;784;unknown;no;579;no;15;54;yes;0;technician;may;-1
60;no;married;3;primary;unknown;-516;telephone;no;554;no;8;41;yes;0;blue-collar;jul;-1
61;yes;married;1;secondary;unknown;415;cellular;no;323;no;7;63;no;0;retired;oct;-1
62;no;married;2;tertiary;unknown;5887;cellular;no;227;no;13;48;no;0;management;aug;-1
63;no;married;2;secondary;unknown;1355;cellular;no;134;no;4;48;no;0;services;jul;-1
64;no;married;1;secondary;unknown;16873;cellular;no;223;no;7;56;no;0;admin.;oct;-1
65;yes;divorced;1;secondary;failure;203;cellular;no;134;no;8;51;no;5;blue-collar;may;170
66;yes;married;1;secondary;unknown;338;cellular;no;155;no;28;31;no;0;services;jan;-1
67;yes;married;4;secondary;unknown;444;cellular;no;130;no;21;29;no;0;technician;jul;-1
68;no;married;3;secondary;unknown;0;cellular;no;630;no;7;41;yes;0;management;jul;-1
69;no;single;2;tertiary;unknown;360;cellular;no;164;no;19;32;no;0;technician;nov;-1
71;yes;divorced;1;tertiary;unknown;2;unknown;no;380;yes;5;42;no;0;entrepreneur;may;-1
72;yes;single;2;tertiary;unknown;6248;unknown;no;154;no;9;31;no;0;management;may;-1
73;yes;married;5;tertiary;unknown;412;unknown;no;154;no;3;41;no;0;services;jun;-1
74;yes;married;1;secondary;unknown;344;unknown;no;221;no;15;56;no;0;retired;may;-1
75;no;divorced;2;tertiary;unknown;3222;cellular;no;67;no;14;54;no;0;management;aug;-1
76;yes;divorced;2;secondary;other;174;cellular;no;367;no;14;41;no;1;blue-collar;may;297
77;no;single;6;secondary;unknown;591;cellular;no;87;no;14;40;yes;0;technician;aug;-1
78;no;divorced;1;primary;unknown;388;cellular;no;701;no;5;50;no;0;blue-collar;feb;-1
79;yes;married;2;secondary;failure;219;cellular;no;204;no;17;40;no;1;unemployed;nov;196
81;no;married;2;primary;unknown;5;cellular;no;63;no;26;60;no;0;retired;aug;-1
82;yes;single;1;secondary;unknown;177;cellular;no;150;no;6;28;yes;0;admin.;may;-1
85;yes;married;2;primary;unknown;1466;unknown;no;406;no;7;51;no;0;blue-collar;may;-1
86;no;single;4;secondary;unknown;879;cellular;no;60;no;7;41;yes;0;technician;jul;-1
87;yes;single;2;primary;unknown;293;unknown;no;521;no;30;35;no;0;blue-collar;may;-1
88;yes;married;1;secondary;unknown;424;cellular;no;279;no;17;38;no;0;admin.;apr;-1
89;yes;married;2;secondary;unknown;1831;unknown;no;203;no;20;34;no;0;blue-collar;may;-1
90;no;married;2;primary;unknown;111;cellular;no;201;no;18;39;no;0;blue-collar;nov;-1
91;yes;married;3;primary;unknown;455;unknown;no;372;no;20;34;no;0;blue-collar;jun;-1
93;no;single;2;tertiary;unknown;3616;cellular;no;165;no;14;32;no;0;management;aug;-1
94;no;married;5;secondary;unknown;14093;cellular;no;231;no;11;57;no;0;blue-collar;aug;-1
95;no;single;2;tertiary;unknown;1567;cellular;no;291;no;1;41;no;0;unknown;jul;-1
96;yes;married;2;tertiary;unknown;5426;unknown;no;149;no;14;41;no;0;admin.;may;-1
97;no;single;1;tertiary;failure;261;cellular;no;233;no;19;30;no;20;admin.;oct;137
98;no;divorced;1;secondary;success;2843;cellular;no;473;no;12;36;no;1;blue-collar;feb;182
100;yes;married;1;secondary;unknown;0;unknown;no;337;no;6;36;no;0;blue-collar;may;-1
101;yes;single;1;tertiary;failure;493;cellular;no;553;no;11;38;no;7;management;may;367
