campaign;balance;housing;loan;contact;age;duration;poutcome;job;_ID;day;previous;pdays;marital;education;month;default;y
1;502;no;no;cellular;20;261;unknown;student;13;30;0;-1;single;secondary;apr;no;yes
2;4189;no;no;telephone;68;897;unknown;retired;30;14;0;-1;divorced;secondary;jul;no;yes
6;2536;yes;no;cellular;32;958;unknown;management;33;26;0;-1;single;tertiary;aug;no;yes
3;1235;no;no;cellular;49;354;unknown;technician;34;13;0;-1;married;tertiary;aug;no;yes
1;229;no;no;telephone;78;97;unknown;retired;36;22;0;-1;divorced;primary;oct;no;yes
1;2089;yes;no;cellular;32;132;unknown;blue-collar;37;14;0;-1;married;secondary;nov;no;yes
1;3935;yes;no;cellular;33;765;failure;management;38;6;2;342;married;secondary;may;no;yes
1;4629;yes;no;cellular;61;181;success;admin.;49;27;1;92;married;unknown;jan;no;yes
3;844;no;no;unknown;45;1018;unknown;blue-collar;50;5;0;-1;divorced;primary;jun;no;yes
1;1539;yes;no;cellular;34;441;other;technician;53;15;1;56;married;tertiary;jun;no;yes
2;0;no;no;cellular;37;268;success;management;70;16;3;182;married;tertiary;jul;no;yes
1;451;yes;no;cellular;27;652;unknown;admin.;80;16;0;-1;divorced;secondary;jul;no;yes
2;657;no;no;telephone;52;398;failure;services;83;7;2;460;married;secondary;jul;no;yes
1;1315;no;no;cellular;37;224;unknown;management;84;30;0;-1;married;tertiary;jun;no;yes
1;-195;yes;no;cellular;27;391;unknown;services;92;18;0;-1;single;secondary;may;no;yes
1;406;no;no;cellular;31;736;unknown;unemployed;99;4;0;-1;single;primary;feb;no;yes
1;3391;no;no;cellular;56;243;unknown;unemployed;108;21;0;-1;married;primary;apr;no;yes
6;2488;no;no;cellular;21;258;success;student;110;30;3;169;single;secondary;jun;no;yes
4;331;no;no;telephone;25;170;unknown;student;114;26;0;-1;single;secondary;aug;no;yes
2;505;no;yes;cellular;25;386;unknown;technician;115;17;0;-1;single;secondary;nov;no;yes
3;462;no;no;cellular;34;1877;unknown;self-employed;125;21;0;-1;single;tertiary;aug;no;yes
1;4659;no;no;cellular;77;161;unknown;retired;129;14;0;-1;divorced;tertiary;apr;no;yes
1;-970;yes;no;cellular;52;489;unknown;management;138;4;0;-1;married;tertiary;feb;no;yes
3;602;no;no;cellular;55;324;success;admin.;156;1;2;90;married;secondary;jun;no;yes
2;80;no;no;cellular;28;676;failure;management;164;20;2;146;single;tertiary;oct;no;yes
2;-1206;yes;no;cellular;56;382;unknown;retired;189;15;0;-1;married;secondary;jun;no;yes
1;3771;no;no;telephone;75;185;success;retired;199;15;2;181;married;secondary;apr;no;yes
2;2658;yes;no;cellular;35;768;failure;technician;202;19;3;141;single;tertiary;aug;no;yes
1;455;no;no;telephone;29;403;unknown;blue-collar;204;21;0;-1;single;tertiary;apr;no;yes
2;372;yes;no;cellular;42;654;unknown;management;215;3;0;-1;married;tertiary;aug;no;yes
3;482;no;yes;cellular;29;1097;unknown;blue-collar;259;10;0;-1;single;secondary;jul;no;yes
1;174;yes;yes;cellular;24;487;unknown;blue-collar;271;18;0;-1;single;secondary;may;no;yes
3;69;no;yes;cellular;34;120;success;admin.;289;4;6;1;married;tertiary;aug;no;yes
2;4108;yes;no;cellular;50;526;unknown;blue-collar;290;7;0;-1;married;primary;aug;no;yes
2;-701;yes;no;cellular;49;988;unknown;entrepreneur;295;30;0;-1;divorced;unknown;jul;yes;yes
1;-311;yes;no;unknown;45;1030;unknown;blue-collar;297;23;0;-1;divorced;primary;may;no;yes
24;593;yes;yes;cellular;38;1484;unknown;entrepreneur;298;24;0;-1;married;secondary;jul;no;yes
5;759;yes;no;cellular;32;317;unknown;blue-collar;299;9;0;-1;married;secondary;apr;no;yes
1;687;yes;no;cellular;49;772;unknown;entrepreneur;306;17;0;-1;married;secondary;apr;no;yes
3;760;yes;no;cellular;25;223;failure;admin.;314;27;2;89;single;tertiary;may;no;yes
4;2971;no;no;cellular;35;429;failure;entrepreneur;318;4;2;164;married;secondary;may;no;yes
1;1199;no;no;cellular;38;178;success;management;323;4;1;1;married;tertiary;aug;no;yes
2;145;yes;no;cellular;35;799;unknown;entrepreneur;327;18;0;-1;single;tertiary;jul;no;yes
3;978;no;no;cellular;35;1370;success;unemployed;328;29;3;209;married;secondary;dec;no;yes
6;228;yes;no;cellular;32;1017;unknown;services;333;21;0;-1;married;primary;jul;no;yes
4;424;no;no;cellular;30;298;unknown;management;334;16;0;-1;single;tertiary;apr;no;yes
2;2587;no;no;cellular;55;328;success;management;347;4;2;94;married;primary;sep;no;yes
2;4099;no;no;cellular;48;397;unknown;admin.;358;2;0;-1;divorced;secondary;apr;no;yes
1;11262;no;no;cellular;60;323;unknown;technician;368;26;0;-1;single;primary;aug;no;yes
3;393;yes;no;cellular;37;567;failure;management;377;14;4;275;married;tertiary;may;no;yes
2;9676;no;no;telephone;59;234;unknown;retired;382;27;0;-1;married;tertiary;mar;no;yes
1;517;no;yes;cellular;28;681;unknown;blue-collar;401;8;0;-1;single;secondary;jul;no;yes
1;0;no;no;cellular;54;161;failure;admin.;409;28;2;98;married;secondary;jan;no;yes
1;3810;yes;no;cellular;75;262;failure;retired;412;16;1;183;divorced;tertiary;nov;no;yes
4;755;no;no;cellular;49;1212;unknown;management;415;31;0;-1;divorced;tertiary;jul;no;yes
4;1221;yes;no;telephone;30;279;unknown;management;443;25;0;-1;married;tertiary;jul;no;yes
1;4508;yes;no;cellular;35;854;unknown;technician;450;18;0;-1;married;secondary;nov;no;yes
1;5462;no;no;cellular;34;430;unknown;self-employed;456;30;0;-1;single;tertiary;apr;no;yes
1;889;yes;no;cellular;32;185;success;blue-collar;464;10;5;99;married;secondary;sep;no;yes
1;4608;no;no;cellular;61;212;unknown;admin.;473;12;0;-1;married;secondary;mar;no;yes
1;7802;no;no;telephone;77;421;success;retired;477;4;2;92;married;tertiary;may;no;yes
1;1796;no;no;telephone;53;295;success;admin.;492;16;2;91;married;secondary;mar;no;yes
6;22;no;no;cellular;46;388;unknown;admin.;493;26;0;-1;married;secondary;aug;no;yes
4;244;yes;no;cellular;44;1735;unknown;technician;494;12;0;-1;single;secondary;aug;no;yes
2;103;no;no;cellular;19;104;unknown;student;503;10;0;-1;single;primary;jul;no;yes
1;315;no;no;cellular;30;1407;unknown;blue-collar;509;23;0;-1;single;secondary;jun;no;yes
1;195;yes;no;cellular;52;220;failure;technician;512;18;5;63;married;secondary;feb;no;yes
2;1925;yes;no;cellular;36;904;unknown;blue-collar;517;20;0;-1;married;primary;apr;no;yes
2;3696;no;no;cellular;47;250;success;admin.;540;12;4;181;single;secondary;jul;no;yes
2;1304;no;no;cellular;43;501;unknown;management;557;6;0;-1;single;tertiary;aug;no;yes
1;720;no;yes;cellular;41;651;unknown;blue-collar;558;24;0;-1;married;secondary;jul;yes;yes
1;227;no;no;cellular;28;278;unknown;technician;581;30;0;-1;single;secondary;apr;no;yes
1;2881;no;no;cellular;32;356;unknown;services;603;2;0;-1;single;secondary;jul;no;yes
2;231;no;no;cellular;41;352;unknown;self-employed;613;7;0;-1;married;tertiary;aug;no;yes
3;7050;no;no;cellular;35;222;success;technician;619;11;4;182;married;tertiary;aug;no;yes
8;2;yes;yes;cellular;30;1031;unknown;management;630;25;0;-1;single;tertiary;jul;no;yes
1;1382;no;no;unknown;58;700;unknown;self-employed;634;9;0;-1;divorced;tertiary;jun;no;yes
3;703;yes;no;unknown;27;590;unknown;management;639;5;0;-1;single;tertiary;jun;no;yes
2;2763;yes;no;unknown;39;526;unknown;management;643;2;0;-1;married;tertiary;jun;no;yes
4;548;no;no;cellular;46;1181;unknown;self-employed;645;12;0;-1;married;secondary;aug;no;yes
5;0;yes;no;cellular;28;767;unknown;management;661;16;0;-1;single;tertiary;jul;no;yes
2;25;yes;no;cellular;38;232;unknown;technician;662;1;0;-1;single;tertiary;jun;no;yes
3;168;no;no;cellular;28;347;success;services;684;1;2;140;single;secondary;jun;no;yes
6;874;no;no;cellular;32;1282;unknown;management;702;12;0;-1;divorced;tertiary;aug;no;yes
1;1033;no;no;unknown;59;1199;unknown;retired;704;11;0;-1;married;unknown;jun;no;yes
